,pretrain_data,target,MSE,MAE
0,['ETTh1'],ETTh1,0.6011300822294245,0.5413439560996739
1,['ETTh1'],ETTh2,0.2599390588593475,0.3639118290221208
2,['ETTh1'],ETTm1,0.4737208390721126,0.47195456984917805
3,['ETTh1'],ETTm2,0.17474663712065158,0.2944231151268492
4,['ETTh1'],electricity,0.35551672842828325,0.41856472413589846
5,"['ETTh1', 'ETTh2', 'ETTm1', 'ETTm2']",electricity,0.36415470402190914,0.4290069563183212
6,['ETTh1'],traffic,0.8098789504381426,0.46377584927310767
7,['ETTh1'],exchange,0.1672573718018386,0.28925532431187795
8,['ETTh2'],ETTh1,0.6159404211587893,0.5484341489641416
9,['ETTh2'],ETTh2,0.27159881322014245,0.36937456091318077
10,['ETTh2'],ETTm1,0.4944068452104008,0.4836409315668741
11,['ETTh2'],ETTm2,0.18047851897864522,0.29957096270670963
12,"['ETTh1', 'ETTh2', 'ETTm1', 'ETTm2']",traffic,0.831622323072484,0.46096966631010217
13,"['ETTh1', 'ETTh2', 'ETTm1', 'ETTm2']",exchange,0.22954297267922288,0.32513506040927964
14,"['ETTh1', 'ETTh2', 'ETTm1', 'ETTm2']",weather,0.3931948530851449,0.4694541153765883
15,['ETTh2'],electricity,0.3932836958679875,0.43224194205870065
16,['ETTh2'],traffic,0.8115150798941603,0.46548923289768046
17,['ETTh2'],exchange,0.16529975007342107,0.28803703140440307
18,['ETTm1'],ETTh1,0.5987579524809091,0.5432301920149545
19,['ETTm1'],ETTh2,0.2676824096410431,0.3677130812205239
20,['ETTm1'],ETTm1,0.47201805458077717,0.4740264815068967
21,['ETTm1'],ETTm2,0.18081060543717217,0.2998626037406939
22,['ETTm1'],electricity,0.3568090168524315,0.422138368241409
23,['ETTm1'],traffic,0.8061106505390456,0.4607310730124806
24,['ETTm1'],exchange,0.19740046730217653,0.30585575350615457
25,['ETTm2'],ETTh1,0.5937217010349088,0.543285607401733
26,['ETTm2'],ETTh2,0.2960047786814164,0.38557564796194815
27,['ETTm2'],ETTm1,0.5239368460919623,0.5058764054251657
28,['ETTm2'],ETTm2,0.20052007871617014,0.31843615943797443
29,['ETTm2'],electricity,0.3589746102495797,0.42421459244555476
30,['ETTm2'],traffic,0.8085850329918579,0.463502819965696
31,['ETTm2'],exchange,0.23474114472372032,0.325246047850136
32,['weather'],ETTh1,0.5791740766488183,0.5334259173592463
33,['weather'],ETTh2,0.2639460265496746,0.3641572851987483
34,['weather'],ETTm1,0.515637554743276,0.5011343506268364
35,['weather'],ETTm2,0.18174433982853624,0.3023285836190243
36,['weather'],electricity,0.3651223163086479,0.4219961820588666
37,['weather'],traffic,0.8296291915979783,0.4604961613468676
38,['weather'],exchange,0.22282291876378005,0.32191170620575427
39,['weather'],weather,0.8198072578981552,0.7273348800884114
40,['ETTh1'],weather,0.8792959746921768,0.7369178582681565
47,['ETTh2'],weather,0.49187021882440585,0.516517246319364
54,['ETTm1'],weather,0.9588458903856697,0.7951219687267588
58,['electricity'],ETTh1,0.57872506099634,0.5405620922547878
59,['electricity'],ETTh2,0.3066886149637221,0.3972099900170198
61,['electricity'],ETTm1,0.5607803194755987,0.516572791623259
62,['electricity'],ETTm2,0.20103427323339915,0.31949985313983886
65,['ETTm2'],weather,0.445727022567212,0.4819003657940499
69,['electricity'],electricity,0.36217003323051905,0.42511728687545547
73,['electricity'],weather,0.3172833255493102,0.4034768361431498
80,['electricity'],traffic,0.8044992163804071,0.46002701760594084
81,['electricity'],exchange,0.20222299753469208,0.3144814660111245
82,['traffic'],ETTh1,0.6055822681802573,0.5607019421612884
83,['traffic'],ETTh2,0.30219291131020554,0.39860943723372505
84,['traffic'],ETTm1,0.5760465300954543,0.5431854986565264
85,['traffic'],ETTm2,0.205196838530041,0.3235766096755619
86,['traffic'],electricity,0.3752263264140508,0.43477995383181156
87,['traffic'],traffic,0.8283928754855088,0.46923921441003646
88,['traffic'],exchange,0.25949440774110094,0.3417795478243747
89,['exchange'],ETTh1,0.5948114600612713,0.5395536354400237
90,['exchange'],ETTh2,0.2605235832212037,0.3607597187941588
91,['exchange'],ETTm1,0.45738329703045066,0.46447269871392116
92,['exchange'],ETTm2,0.17321133894704996,0.2929176061762171
93,['traffic'],weather,0.689834311675701,0.6465925074234798
94,['exchange'],electricity,0.4004534393008165,0.42720241060777364
95,['exchange'],traffic,0.8645376138811556,0.48885756068755315
96,['exchange'],exchange,0.143335668910332,0.2659051936897889
97,['exchange'],weather,0.7017489995151673,0.6400274849242673
